company,number_points,city,modal,area,website,title,day,limite
MIOTH- Ministério Infra-Estruturas Ordenamento do Território e Habitação,1,Praia,Carreira, Arquitetura e Urbanismo,DNAP,Inspetor Nível I,2023-11-07,2023-11-19
MIOTH- Ministério Infra-Estruturas Ordenamento do Território e Habitação,1,Praia,Carreira,Geografia Planeamento Gestão Território Engenharia Geográfica ou Cartográfica,DNAP,Inspetor Nivel I,2023-11-06,2023-11-19
Girassol Tours,1,Praia,Tempo Inteiro,Contabilidade,vagas CV,Contabilista,2023-11-08,2023-11-14
Hotel Health Club VIVI & Korpore,2,Praia,A Termo Certo,Administração e Gestão,PEPE-IEFP,ATENDIMENTO HOTEL - RECEPÇÃO,2023-11-10,2023-11-18
Hotel Health Club VIVI & Korpore,1,Praia,A termo certo,Gestão Hoteleira e Turismo,vagas CV,Camareira,2023-11-10,2023-11-24
"ENAPOR, S.A",1,Praia,Contrato,Engenharia de Máquinas,Enapor,Oficial de Máquinas,2023-11-07,2023-11-24
SSA ADVOGADOS,1,Praia,Contrato,Assistente,vagas CV, Assistente para Escritório,2023-11-13,2023-11-30
Pão Quente de Cabo Verde,1,Praia,Contrato,Gestão,vagas CV,Supervisores(as) de Equipa,2023-11-13,2023-11-17
Guia de Serviços,1,Praia,Contrato,Limpeza,vagas CV,Limpeza,2023-11-12,2023-11-22
Guia de Serviços,1,Praia,Contrato,Vigilantes de Segurança,vagas CV,Vigilantes de Segurança Privada,2023-11-12,2023-11-23
"Cabo Verde Airports, S.A.",2,São Vicente,Contrato,Engenheiro civil,vagas CV,Engenheiros Civis,2023-11-14,2023-11-24
"GG´s Sport and Bar, Sociedade Unipessoal Lda",1,Sal,A termo certo,"Hotelaria, Restauração e Turismo",PEPE-IEFP, Cozinheiro,2023-11-13,2023-11-20
"GG´s Sport and Bar, Sociedade Unipessoal Lda",1,Sal,A termo certo,"Hotelaria, Restauração e Turismo",PEPE-IEFP,Empregado Bar,2023-11-14,2023-11-20
"GG´s Sport and Bar, Sociedade Unipessoal Lda",1,Sal,A termo certo,"Hotelaria, Restauração e Turismo",PEPE-IEFP,Empregado Mesa,2023-11-15,2023-11-20
Associação de Defesa do Património de Mértola (ADPM) ,1,Santo Antão,Contrato," Desenvolvimento local sustentável, Turismo de Natureza, Ciências Naturais, Biologia",vagas CV,Técnico de Desenvolvimento Local,2023-11-15,2023-11-28
Associação de Defesa do Património de Mértola (ADPM) ,1,São Nicolau,Contrato,"Desenvolvimento local sustentável, Turismo de Natureza, Ciências Naturais, Biologia",vagas CV,Técnico de Desenvolvimento Local,2023-11-14,2023-11-28
" Segurança Privada, recruta Screeners",1,Sal,Contrato,Segurança Privada,vagas CV," Segurança Privada, recruta Screeners",2023-11-18,2023-11-30
"Garantia, Companhia de Seguros de Cabo Verde, S.A.",15,Praia,Contrato,Consultores de Seguros,vagas CV,Consultores de Seguros,2023-11-18,2023-11-24
THE RESORT GROUP PLC,1,Sal,Contrato,"Finanças, Economia ou Contabilidade",vagas CV, Diretor Financeiro Comercial,2023-11-18,2023-11-25
THE RESORT GROUP PLC,1,Sal,Contrato,Finanças,vagas CV,Controlador Financeiro Comercial,2023-11-18,2023-11-26
Padaria Portuguesa,1,Sal,Contrato,Assistente de Limpeza,vagas CV,Colaboradores Assistentes de Limpeza,2023-11-19,2023-11-25
Companhia de Música Loco,1,Sal,Contrato,Assistente Executivo,vagas CV,Assistente Executivo,2023-11-19,2023-11-26
"CABNAVE – Estaleiros Navais de Cabo Verde, S.A.",1,São Vicente,Contrato,"Engenharia Naval, mecânica ",vagas CV,Diretor Comercial,2023-11-19,2023-11-30
Distrimpor,1,Praia,Contrato,Comercial,vagas CV,Comercial,2023-11-19,2023-11-27
Kebra Cabana,2,Praia,Contrato,Segurança,vagas CV,Seguranças,2023-11-20,2023-11-30
"Cabo Verde Airports, S.A.",1,Sal,Contrato,"Ciências da Computação, Tecnologia da Informação",vagas CV,Técnico de Informático,2023-11-24,2023-12-01
BAFAS fast food Lda.,1,Praia,Contrato,"Cozinheiro/a, Atendimento a mesa, Assistente de cozinha, Pasteleiro/a",vagas CV,Funcionários para Restaurante,2023-11-27,2023-12-10
SLA,1,Praia,Contrato,Gestão de Recursos Humanos ou Psicologia Organizacional,vagas CV,Técnico de Recursos Humanos,2023-11-27,2023-12-08
